06.10.20.40.30.102	 Left: -1.0 Right: -1.0
06.10.20.40.30.270	 Left: -1.0 Right: -1.0
06.10.20.40.30.521	 Left: -1.0 Right: -1.0
06.10.20.40.30.771	 Left: -1.0 Right: -1.0
06.10.20.40.31.022	 Left: -1.0 Right: -1.0
06.10.20.40.31.272	 Left: -1.0 Right: -1.0
06.10.20.40.31.522	 Left: -1.0 Right: 1.0
06.10.20.40.31.773	 Left: -1.0 Right: 1.0
06.10.20.40.32.024	 Left: -1.0 Right: 1.0
06.10.20.40.32.274	 Left: -1.0 Right: 1.0
06.10.20.40.32.524	 Left: -1.0 Right: 1.0
06.10.20.40.32.774	 Left: -1.0 Right: 1.0
06.10.20.40.33.025	 Left: 1.0 Right: 1.0
06.10.20.40.33.276	 Left: 1.0 Right: 1.0
06.10.20.40.33.526	 Left: 1.0 Right: 1.0
06.10.20.40.33.777	 Left: 1.0 Right: 1.0
06.10.20.40.34.027	 Left: 1.0 Right: 1.0
06.10.20.40.34.277	 Left: 1.0 Right: 0.0
06.10.20.40.34.528	 Left: 1.0 Right: 0.0
06.10.20.40.34.778	 Left: 1.0 Right: 0.0
06.10.20.40.35.029	 Left: 1.0 Right: 4.0
06.10.20.40.35.279	 Left: 1.0 Right: 0.0
06.10.20.40.35.529	 Left: 0.0 Right: 0.0
06.10.20.40.35.780	 Left: 2.0 Right: 2.0
06.10.20.40.36.030	 Left: 2.0 Right: 0.0
06.10.20.40.36.282	 Left: 2.0 Right: 0.0
06.10.20.40.36.531	 Left: 2.0 Right: 0.0
06.10.20.40.36.782	 Left: 1.0 Right: 1.0
06.10.20.40.37.034	 Left: 1.0 Right: 1.0
06.10.20.40.37.283	 Left: 1.0 Right: 1.0
06.10.20.40.37.533	 Left: 1.0 Right: 1.0
06.10.20.40.37.783	 Left: 1.0 Right: 1.0
06.10.20.40.38.033	 Left: 1.0 Right: 1.0
06.10.20.40.38.284	 Left: 1.0 Right: 1.0
06.10.20.40.38.535	 Left: 1.0 Right: 1.0
06.10.20.40.38.785	 Left: 1.0 Right: 1.0
06.10.20.40.39.035	 Left: 1.0 Right: 1.0
06.10.20.40.39.285	 Left: 1.0 Right: 1.0
06.10.20.40.39.535	 Left: 1.0 Right: 1.0
06.10.20.40.39.785	 Left: 1.0 Right: 1.0
06.10.20.40.40.036	 Left: 1.0 Right: 1.0
06.10.20.40.40.286	 Left: 1.0 Right: 1.0
06.10.20.40.40.536	 Left: 1.0 Right: 1.0
