06.14.13.03.50.501	 Left: -1.0 Right: -1.0
06.14.13.03.50.660	 Left: 1.0 Right: 1.0
06.14.13.03.50.912	 Left: 1.0 Right: 1.0
06.14.13.03.51.161	 Left: 1.0 Right: 1.0
06.14.13.03.51.412	 Left: 1.0 Right: 1.0
06.14.13.03.51.662	 Left: 1.0 Right: 1.0
06.14.13.03.51.912	 Left: 1.0 Right: 1.0
06.14.13.03.52.163	 Left: 1.0 Right: 1.0
06.14.13.03.52.414	 Left: 1.0 Right: 1.0
06.14.13.03.52.665	 Left: 1.0 Right: 1.0
06.14.13.03.52.916	 Left: 1.0 Right: 1.0
06.14.13.03.53.166	 Left: 1.0 Right: 1.0
06.14.13.03.53.418	 Left: 1.0 Right: 1.0
06.14.13.03.53.669	 Left: 1.0 Right: 1.0
06.14.13.03.53.919	 Left: 1.0 Right: 1.0
06.14.13.03.54.169	 Left: 1.0 Right: 1.0
06.14.13.03.54.420	 Left: 1.0 Right: 1.0
06.14.13.03.54.671	 Left: 1.0 Right: 1.0
06.14.13.03.54.921	 Left: 1.0 Right: 1.0
06.14.13.03.55.172	 Left: 1.0 Right: 1.0
06.14.13.03.55.423	 Left: 1.0 Right: 1.0
06.14.13.03.55.675	 Left: 1.0 Right: 1.0
06.14.13.03.55.927	 Left: 1.0 Right: 1.0
06.14.13.03.56.177	 Left: 1.0 Right: 1.0
06.14.13.03.56.427	 Left: 1.0 Right: 1.0
06.14.13.03.56.678	 Left: 1.0 Right: 1.0
06.14.13.03.56.928	 Left: 1.0 Right: 1.0
06.14.13.03.57.179	 Left: 1.0 Right: 1.0
06.14.13.03.57.431	 Left: 1.0 Right: 1.0
06.14.13.03.57.680	 Left: 1.0 Right: 1.0
06.14.13.03.57.931	 Left: 1.0 Right: 1.0
06.14.13.03.58.181	 Left: 1.0 Right: 1.0
06.14.13.03.58.432	 Left: 1.0 Right: 1.0
06.14.13.03.58.684	 Left: 1.0 Right: 1.0
06.14.13.03.58.936	 Left: 1.0 Right: 1.0
06.14.13.03.59.186	 Left: 1.0 Right: 1.0
06.14.13.03.59.437	 Left: 1.0 Right: 1.0
06.14.13.03.59.688	 Left: 1.0 Right: 1.0
06.14.13.03.59.940	 Left: 1.0 Right: 1.0
06.14.13.04.00.190	 Left: 1.0 Right: 1.0
06.14.13.04.00.440	 Left: 1.0 Right: 1.0
06.14.13.04.00.691	 Left: 1.0 Right: 1.0
06.14.13.04.00.941	 Left: 1.0 Right: 1.0
06.14.13.04.01.192	 Left: 1.0 Right: 1.0
06.14.13.04.01.442	 Left: 1.0 Right: 1.0
06.14.13.04.01.693	 Left: 1.0 Right: 1.0
06.14.13.04.01.943	 Left: 1.0 Right: 1.0
06.14.13.04.02.193	 Left: 1.0 Right: 1.0
06.14.13.04.02.444	 Left: 1.0 Right: 1.0
06.14.13.04.02.694	 Left: 1.0 Right: 1.0
06.14.13.04.02.945	 Left: 1.0 Right: 1.0
06.14.13.04.03.195	 Left: 1.0 Right: 1.0
06.14.13.04.03.446	 Left: 1.0 Right: 1.0
06.14.13.04.03.697	 Left: 1.0 Right: 1.0
06.14.13.04.03.948	 Left: 1.0 Right: 1.0
06.14.13.04.04.199	 Left: 1.0 Right: 1.0
06.14.13.04.04.449	 Left: 1.0 Right: 1.0
06.14.13.04.04.700	 Left: 1.0 Right: 1.0
06.14.13.04.04.951	 Left: 1.0 Right: 1.0
06.14.13.04.05.202	 Left: 1.0 Right: 1.0
06.14.13.04.05.452	 Left: 1.0 Right: 1.0
06.14.13.04.05.702	 Left: 1.0 Right: 1.0
06.14.13.04.05.954	 Left: 1.0 Right: 1.0
06.14.13.04.06.204	 Left: 1.0 Right: 1.0
06.14.13.04.06.455	 Left: 1.0 Right: 1.0
06.14.13.04.06.706	 Left: 1.0 Right: 1.0
06.14.13.04.06.957	 Left: 1.0 Right: 1.0
06.14.13.04.07.209	 Left: 1.0 Right: 1.0
06.14.13.04.07.460	 Left: 1.0 Right: 1.0
06.14.13.04.07.710	 Left: 1.0 Right: 1.0
06.14.13.04.07.961	 Left: 1.0 Right: 1.0
06.14.13.04.08.211	 Left: 1.0 Right: 1.0
06.14.13.04.08.462	 Left: 1.0 Right: 1.0
06.14.13.04.08.712	 Left: 1.0 Right: 1.0
06.14.13.04.08.962	 Left: 1.0 Right: 1.0
06.14.13.04.09.213	 Left: 1.0 Right: 1.0
06.14.13.04.09.464	 Left: 1.0 Right: 1.0
06.14.13.04.09.715	 Left: 1.0 Right: 1.0
06.14.13.04.09.966	 Left: 1.0 Right: 1.0
06.14.13.04.10.216	 Left: 1.0 Right: 1.0
06.14.13.04.10.467	 Left: 1.0 Right: 1.0
06.14.13.04.10.717	 Left: 1.0 Right: 1.0
06.14.13.04.10.967	 Left: 1.0 Right: 1.0
06.14.13.04.11.218	 Left: 1.0 Right: 1.0
06.14.13.04.11.468	 Left: 1.0 Right: 1.0
06.14.13.04.11.720	 Left: 1.0 Right: 1.0
06.14.13.04.11.969	 Left: 1.0 Right: 1.0
06.14.13.04.12.220	 Left: 1.0 Right: 1.0
06.14.13.04.12.471	 Left: 1.0 Right: 1.0
06.14.13.04.12.722	 Left: 1.0 Right: 1.0
06.14.13.04.12.973	 Left: 1.0 Right: 1.0
06.14.13.04.13.224	 Left: 1.0 Right: 1.0
06.14.13.04.13.475	 Left: 1.0 Right: 1.0
06.14.13.04.13.725	 Left: 1.0 Right: 1.0
06.14.13.04.13.975	 Left: 1.0 Right: 1.0
06.14.13.04.14.226	 Left: 1.0 Right: 1.0
06.14.13.04.14.477	 Left: 1.0 Right: 1.0
06.14.13.04.14.728	 Left: 1.0 Right: 1.0
06.14.13.04.14.979	 Left: 1.0 Right: 0.0
06.14.13.04.15.229	 Left: 1.0 Right: 4.0
06.14.13.04.15.480	 Left: 1.0 Right: 0.0
06.14.13.04.15.731	 Left: 1.0 Right: 0.0
06.14.13.04.15.982	 Left: 1.0 Right: 0.0
06.14.13.04.16.233	 Left: 1.0 Right: 0.0
06.14.13.04.16.485	 Left: 1.0 Right: 0.0
06.14.13.04.16.735	 Left: 1.0 Right: 0.0
06.14.13.04.16.986	 Left: 1.0 Right: 4.0
06.14.13.04.17.237	 Left: 1.0 Right: 4.0
06.14.13.04.17.488	 Left: 1.0 Right: 1.0
06.14.13.04.17.738	 Left: 1.0 Right: 1.0
06.14.13.04.17.988	 Left: 1.0 Right: 1.0
06.14.13.04.18.240	 Left: 1.0 Right: 1.0
06.14.13.04.18.490	 Left: 1.0 Right: 4.0
06.14.13.04.18.740	 Left: 1.0 Right: 4.0
06.14.13.04.18.991	 Left: 1.0 Right: 4.0
06.14.13.04.19.242	 Left: 1.0 Right: 4.0
06.14.13.04.19.492	 Left: 1.0 Right: 0.0
06.14.13.04.19.742	 Left: 1.0 Right: 4.0
06.14.13.04.19.992	 Left: 1.0 Right: 4.0
06.14.13.04.20.243	 Left: 1.0 Right: 4.0
06.14.13.04.20.493	 Left: 1.0 Right: 4.0
06.14.13.04.20.744	 Left: 1.0 Right: 4.0
06.14.13.04.20.995	 Left: 1.0 Right: 4.0
06.14.13.04.21.246	 Left: 1.0 Right: 4.0
06.14.13.04.21.497	 Left: 1.0 Right: 4.0
06.14.13.04.21.747	 Left: 1.0 Right: 4.0
06.14.13.04.21.997	 Left: 1.0 Right: 4.0
06.14.13.04.22.248	 Left: 0.0 Right: -1.0
06.14.13.04.22.498	 Left: 0.0 Right: -1.0
06.14.13.04.22.759	 Left: 0.0 Right: -1.0
06.14.13.04.22.999	 Left: 0.0 Right: -1.0
06.14.13.04.23.250	 Left: 0.0 Right: -1.0
06.14.13.04.23.501	 Left: 0.0 Right: -1.0
06.14.13.04.23.753	 Left: 0.0 Right: -1.0
06.14.13.04.24.004	 Left: 0.0 Right: -1.0
06.14.13.04.24.254	 Left: 0.0 Right: -1.0
06.14.13.04.24.505	 Left: 1.0 Right: -1.0
06.14.13.04.24.755	 Left: 1.0 Right: -1.0
06.14.13.04.25.005	 Left: 1.0 Right: -1.0
06.14.13.04.25.255	 Left: 1.0 Right: -1.0
06.14.13.04.25.506	 Left: 1.0 Right: -1.0
06.14.13.04.25.757	 Left: 1.0 Right: -1.0
06.14.13.04.26.007	 Left: 1.0 Right: -1.0
06.14.13.04.26.258	 Left: 1.0 Right: -1.0
06.14.13.04.26.510	 Left: 1.0 Right: -1.0
06.14.13.04.26.759	 Left: 1.0 Right: -1.0
06.14.13.04.27.009	 Left: 1.0 Right: -1.0
06.14.13.04.27.260	 Left: 1.0 Right: -1.0
06.14.13.04.27.511	 Left: 1.0 Right: -1.0
06.14.13.04.27.761	 Left: 1.0 Right: -1.0
06.14.13.04.28.012	 Left: 1.0 Right: -1.0
06.14.13.04.28.263	 Left: 1.0 Right: -1.0
06.14.13.04.28.514	 Left: 1.0 Right: 4.0
06.14.13.04.28.765	 Left: 1.0 Right: 4.0
06.14.13.04.29.016	 Left: 1.0 Right: 4.0
06.14.13.04.29.267	 Left: 1.0 Right: 4.0
06.14.13.04.29.517	 Left: 1.0 Right: 4.0
06.14.13.04.29.768	 Left: 1.0 Right: 4.0
06.14.13.04.30.018	 Left: 1.0 Right: 4.0
06.14.13.04.30.269	 Left: 1.0 Right: 4.0
06.14.13.04.30.519	 Left: 1.0 Right: 4.0
06.14.13.04.30.769	 Left: 1.0 Right: 4.0
06.14.13.04.31.020	 Left: 1.0 Right: 4.0
06.14.13.04.31.271	 Left: 1.0 Right: 4.0
06.14.13.04.31.522	 Left: 1.0 Right: 4.0
06.14.13.04.31.773	 Left: 1.0 Right: 4.0
06.14.13.04.32.024	 Left: 1.0 Right: 4.0
06.14.13.04.32.274	 Left: 1.0 Right: 4.0
06.14.13.04.32.525	 Left: 1.0 Right: 4.0
06.14.13.04.32.775	 Left: 1.0 Right: 4.0
06.14.13.04.33.025	 Left: 1.0 Right: 0.0
06.14.13.04.33.277	 Left: 1.0 Right: 1.0
06.14.13.04.33.528	 Left: 1.0 Right: 1.0
06.14.13.04.33.779	 Left: 1.0 Right: 1.0
06.14.13.04.34.031	 Left: 1.0 Right: 1.0
06.14.13.04.34.282	 Left: 1.0 Right: 1.0
06.14.13.04.34.534	 Left: 1.0 Right: 1.0
06.14.13.04.34.784	 Left: 1.0 Right: 1.0
06.14.13.04.35.034	 Left: 1.0 Right: 1.0
06.14.13.04.35.286	 Left: 1.0 Right: 4.0
06.14.13.04.35.537	 Left: 1.0 Right: 0.0
06.14.13.04.35.787	 Left: 1.0 Right: 4.0
06.14.13.04.36.037	 Left: 1.0 Right: 4.0
06.14.13.04.36.287	 Left: 1.0 Right: 4.0
06.14.13.04.36.537	 Left: 1.0 Right: 4.0
06.14.13.04.36.789	 Left: 1.0 Right: 0.0
06.14.13.04.37.039	 Left: 1.0 Right: 1.0
06.14.13.04.37.290	 Left: 2.0 Right: 4.0
06.14.13.04.37.540	 Left: 1.0 Right: -1.0
06.14.13.04.37.790	 Left: 1.0 Right: -1.0
06.14.13.04.38.040	 Left: 1.0 Right: -1.0
06.14.13.04.38.290	 Left: -1.0 Right: 4.0
06.14.13.04.38.542	 Left: -1.0 Right: 4.0
06.14.13.04.38.792	 Left: -1.0 Right: 4.0
06.14.13.04.39.042	 Left: -1.0 Right: 4.0
06.14.13.04.39.293	 Left: -1.0 Right: 0.0
06.14.13.04.39.543	 Left: -1.0 Right: 4.0
06.14.13.04.39.793	 Left: -1.0 Right: 4.0
06.14.13.04.40.043	 Left: -1.0 Right: 1.0
06.14.13.04.40.293	 Left: -1.0 Right: 1.0
06.14.13.04.40.544	 Left: -1.0 Right: 1.0
06.14.13.04.40.794	 Left: -1.0 Right: 2.0
06.14.13.04.41.045	 Left: -1.0 Right: 2.0
06.14.13.04.41.296	 Left: -1.0 Right: 2.0
06.14.13.04.41.547	 Left: -1.0 Right: 2.0
06.14.13.04.41.797	 Left: -1.0 Right: 2.0
06.14.13.04.42.048	 Left: -1.0 Right: 2.0
06.14.13.04.42.298	 Left: -1.0 Right: 2.0
06.14.13.04.42.548	 Left: -1.0 Right: 2.0
06.14.13.04.42.798	 Left: -1.0 Right: 2.0
06.14.13.04.43.049	 Left: -1.0 Right: 2.0
06.14.13.04.43.300	 Left: -1.0 Right: 2.0
06.14.13.04.43.551	 Left: -1.0 Right: 2.0
06.14.13.04.43.802	 Left: -1.0 Right: 2.0
06.14.13.04.44.053	 Left: -1.0 Right: 2.0
06.14.13.04.44.304	 Left: 1.0 Right: -1.0
06.14.13.04.44.554	 Left: 1.0 Right: -1.0
06.14.13.04.44.805	 Left: 1.0 Right: -1.0
06.14.13.04.45.055	 Left: 1.0 Right: -1.0
06.14.13.04.45.306	 Left: 1.0 Right: -1.0
06.14.13.04.45.556	 Left: 1.0 Right: -1.0
06.14.13.04.45.806	 Left: 1.0 Right: -1.0
06.14.13.04.46.057	 Left: 1.0 Right: -1.0
06.14.13.04.46.307	 Left: 1.0 Right: -1.0
06.14.13.04.46.557	 Left: 1.0 Right: -1.0
06.14.13.04.46.807	 Left: 1.0 Right: -1.0
06.14.13.04.47.058	 Left: 1.0 Right: -1.0
06.14.13.04.47.308	 Left: 1.0 Right: -1.0
06.14.13.04.47.558	 Left: 1.0 Right: -1.0
06.14.13.04.47.809	 Left: 1.0 Right: -1.0
06.14.13.04.48.060	 Left: 1.0 Right: -1.0
06.14.13.04.48.311	 Left: 1.0 Right: -1.0
06.14.13.04.48.561	 Left: 1.0 Right: -1.0
06.14.13.04.48.811	 Left: 1.0 Right: -1.0
06.14.13.04.49.062	 Left: 1.0 Right: -1.0
06.14.13.04.49.312	 Left: 1.0 Right: -1.0
06.14.13.04.49.562	 Left: 1.0 Right: -1.0
06.14.13.04.49.813	 Left: 1.0 Right: -1.0
06.14.13.04.50.063	 Left: 1.0 Right: -1.0
06.14.13.04.50.313	 Left: 1.0 Right: -1.0
06.14.13.04.50.564	 Left: 1.0 Right: -1.0
06.14.13.04.50.814	 Left: 1.0 Right: -1.0
06.14.13.04.51.064	 Left: 1.0 Right: -1.0
06.14.13.04.51.315	 Left: 1.0 Right: -1.0
06.14.13.04.51.565	 Left: 1.0 Right: -1.0
06.14.13.04.51.817	 Left: 2.0 Right: -1.0
06.14.13.04.52.068	 Left: 2.0 Right: -1.0
06.14.13.04.52.319	 Left: 2.0 Right: -1.0
06.14.13.04.52.571	 Left: 2.0 Right: -1.0
06.14.13.04.52.822	 Left: 2.0 Right: -1.0
06.14.13.04.53.073	 Left: -1.0 Right: 2.0
06.14.13.04.53.323	 Left: -1.0 Right: 2.0
06.14.13.04.53.573	 Left: -1.0 Right: 2.0
06.14.13.04.53.824	 Left: -1.0 Right: 2.0
06.14.13.04.54.074	 Left: -1.0 Right: 2.0
06.14.13.04.54.325	 Left: -1.0 Right: 2.0
06.14.13.04.54.575	 Left: -1.0 Right: 2.0
06.14.13.04.54.826	 Left: -1.0 Right: 2.0
06.14.13.04.55.077	 Left: -1.0 Right: 2.0
06.14.13.04.55.328	 Left: -1.0 Right: 2.0
06.14.13.04.55.578	 Left: -1.0 Right: 2.0
06.14.13.04.55.829	 Left: -1.0 Right: 2.0
06.14.13.04.56.080	 Left: -1.0 Right: 2.0
06.14.13.04.56.330	 Left: -1.0 Right: 2.0
06.14.13.04.56.580	 Left: -1.0 Right: 2.0
06.14.13.04.56.831	 Left: -1.0 Right: 2.0
06.14.13.04.57.081	 Left: -1.0 Right: 2.0
06.14.13.04.57.332	 Left: -1.0 Right: 2.0
06.14.13.04.57.582	 Left: -1.0 Right: 2.0
06.14.13.04.57.834	 Left: -1.0 Right: 2.0
06.14.13.04.58.084	 Left: -1.0 Right: 2.0
06.14.13.04.58.335	 Left: -1.0 Right: 2.0
06.14.13.04.58.586	 Left: 1.0 Right: -1.0
06.14.13.04.58.837	 Left: 1.0 Right: -1.0
06.14.13.04.59.087	 Left: 1.0 Right: -1.0
06.14.13.04.59.337	 Left: 1.0 Right: -1.0
06.14.13.04.59.588	 Left: 1.0 Right: -1.0
06.14.13.04.59.839	 Left: 1.0 Right: -1.0
06.14.13.05.00.090	 Left: 1.0 Right: -1.0
06.14.13.05.00.340	 Left: 1.0 Right: -1.0
06.14.13.05.00.591	 Left: 1.0 Right: -1.0
06.14.13.05.00.843	 Left: 1.0 Right: -1.0
06.14.13.05.01.094	 Left: 1.0 Right: -1.0
06.14.13.05.01.346	 Left: 1.0 Right: -1.0
06.14.13.05.01.596	 Left: 1.0 Right: -1.0
06.14.13.05.01.847	 Left: 1.0 Right: -1.0
06.14.13.05.02.097	 Left: 1.0 Right: -1.0
06.14.13.05.02.348	 Left: 1.0 Right: -1.0
06.14.13.05.02.598	 Left: 1.0 Right: -1.0
06.14.13.05.02.848	 Left: 1.0 Right: -1.0
06.14.13.05.03.098	 Left: 1.0 Right: -1.0
06.14.13.05.03.349	 Left: 1.0 Right: -1.0
06.14.13.05.03.600	 Left: 1.0 Right: -1.0
06.14.13.05.03.852	 Left: 1.0 Right: -1.0
06.14.13.05.04.102	 Left: 1.0 Right: -1.0
06.14.13.05.04.352	 Left: 1.0 Right: -1.0
06.14.13.05.04.602	 Left: 1.0 Right: -1.0
06.14.13.05.04.853	 Left: 1.0 Right: -1.0
06.14.13.05.05.103	 Left: 1.0 Right: -1.0
06.14.13.05.05.354	 Left: 1.0 Right: -1.0
06.14.13.05.05.605	 Left: 1.0 Right: -1.0
06.14.13.05.05.855	 Left: 1.0 Right: -1.0
06.14.13.05.06.107	 Left: 1.0 Right: -1.0
06.14.13.05.06.358	 Left: 1.0 Right: -1.0
06.14.13.05.06.609	 Left: 1.0 Right: -1.0
06.14.13.05.06.859	 Left: 1.0 Right: -1.0
06.14.13.05.07.110	 Left: 1.0 Right: -1.0
06.14.13.05.07.360	 Left: 1.0 Right: -1.0
06.14.13.05.07.610	 Left: 1.0 Right: -1.0
06.14.13.05.07.860	 Left: 1.0 Right: -1.0
06.14.13.05.08.110	 Left: 1.0 Right: -1.0
06.14.13.05.08.361	 Left: 1.0 Right: -1.0
06.14.13.05.08.611	 Left: 1.0 Right: -1.0
06.14.13.05.08.861	 Left: 1.0 Right: -1.0
06.14.13.05.09.112	 Left: 1.0 Right: -1.0
06.14.13.05.09.362	 Left: 1.0 Right: -1.0
06.14.13.05.09.613	 Left: 0.0 Right: -1.0
06.14.13.05.09.863	 Left: 0.0 Right: -1.0
06.14.13.05.10.113	 Left: 0.0 Right: -1.0
06.14.13.05.10.364	 Left: 0.0 Right: -1.0
06.14.13.05.10.615	 Left: 0.0 Right: -1.0
06.14.13.05.10.865	 Left: 0.0 Right: -1.0
06.14.13.05.11.115	 Left: 0.0 Right: -1.0
06.14.13.05.11.366	 Left: 1.0 Right: -1.0
06.14.13.05.11.617	 Left: 1.0 Right: -1.0
06.14.13.05.11.867	 Left: 1.0 Right: -1.0
06.14.13.05.12.118	 Left: 1.0 Right: -1.0
06.14.13.05.12.369	 Left: 1.0 Right: -1.0
06.14.13.05.12.619	 Left: 1.0 Right: -1.0
06.14.13.05.12.871	 Left: 1.0 Right: -1.0
06.14.13.05.13.122	 Left: 1.0 Right: -1.0
06.14.13.05.13.372	 Left: 1.0 Right: -1.0
06.14.13.05.13.622	 Left: 1.0 Right: -1.0
06.14.13.05.13.872	 Left: 1.0 Right: -1.0
06.14.13.05.14.123	 Left: 1.0 Right: -1.0
06.14.13.05.14.373	 Left: 1.0 Right: -1.0
06.14.13.05.14.624	 Left: -1.0 Right: 0.0
06.14.13.05.14.875	 Left: -1.0 Right: 0.0
06.14.13.05.15.125	 Left: -1.0 Right: 0.0
06.14.13.05.15.375	 Left: -1.0 Right: 0.0
