05.31.09.14.32.177	 Left: -1.0 Right: -1.0
05.31.09.14.32.406	 Left: -1.0 Right: -1.0
05.31.09.14.32.656	 Left: -1.0 Right: -1.0
05.31.09.14.32.906	 Left: -1.0 Right: -1.0
05.31.09.14.33.156	 Left: -1.0 Right: -1.0
05.31.09.14.33.407	 Left: -1.0 Right: -1.0
05.31.09.14.33.657	 Left: -1.0 Right: -1.0
05.31.09.14.33.907	 Left: -1.0 Right: -1.0
05.31.09.14.34.157	 Left: -1.0 Right: -1.0
05.31.09.14.34.408	 Left: -1.0 Right: -1.0
05.31.09.14.34.658	 Left: -1.0 Right: -1.0
05.31.09.14.34.908	 Left: -1.0 Right: -1.0
05.31.09.14.35.159	 Left: -1.0 Right: -1.0
05.31.09.14.35.409	 Left: -1.0 Right: -1.0
05.31.09.14.35.659	 Left: -1.0 Right: -1.0
05.31.09.14.35.910	 Left: -1.0 Right: -1.0
05.31.09.14.36.161	 Left: -1.0 Right: -1.0
05.31.09.14.36.412	 Left: -1.0 Right: -1.0
05.31.09.14.36.662	 Left: -1.0 Right: -1.0
05.31.09.14.36.912	 Left: -1.0 Right: -1.0
05.31.09.14.37.162	 Left: -1.0 Right: -1.0
05.31.09.14.37.412	 Left: -1.0 Right: -1.0
05.31.09.14.37.663	 Left: -1.0 Right: -1.0
05.31.09.14.37.913	 Left: -1.0 Right: -1.0
05.31.09.14.38.163	 Left: -1.0 Right: -1.0
05.31.09.14.38.413	 Left: -1.0 Right: -1.0
05.31.09.14.38.663	 Left: -1.0 Right: -1.0
05.31.09.14.38.913	 Left: -1.0 Right: -1.0
05.31.09.14.39.164	 Left: -1.0 Right: -1.0
05.31.09.14.39.415	 Left: -1.0 Right: -1.0
05.31.09.14.39.665	 Left: -1.0 Right: -1.0
05.31.09.14.39.915	 Left: -1.0 Right: -1.0
05.31.09.14.40.165	 Left: -1.0 Right: -1.0
05.31.09.14.40.416	 Left: -1.0 Right: -1.0
05.31.09.14.40.666	 Left: -1.0 Right: -1.0
05.31.09.14.40.916	 Left: -1.0 Right: -1.0
05.31.09.14.41.167	 Left: -1.0 Right: -1.0
05.31.09.14.41.417	 Left: -1.0 Right: -1.0
05.31.09.14.41.668	 Left: -1.0 Right: -1.0
05.31.09.14.41.918	 Left: -1.0 Right: -1.0
05.31.09.14.42.169	 Left: -1.0 Right: -1.0
