06.13.19.47.52.654	 Left: -1.0 Right: -1.0
06.13.19.47.52.855	 Left: 2.0 Right: -1.0
06.13.19.47.53.106	 Left: 2.0 Right: -1.0
06.13.19.47.53.357	 Left: 2.0 Right: -1.0
06.13.19.47.53.608	 Left: 2.0 Right: -1.0
06.13.19.47.53.859	 Left: 2.0 Right: -1.0
06.13.19.47.54.110	 Left: 2.0 Right: -1.0
06.13.19.47.54.360	 Left: 2.0 Right: -1.0
06.13.19.47.54.612	 Left: 2.0 Right: -1.0
06.13.19.47.54.863	 Left: 2.0 Right: -1.0
06.13.19.47.55.114	 Left: 2.0 Right: -1.0
06.13.19.47.55.365	 Left: 2.0 Right: -1.0
06.13.19.47.55.616	 Left: 0.0 Right: -1.0
06.13.19.47.55.867	 Left: 0.0 Right: -1.0
06.13.19.47.56.119	 Left: 0.0 Right: -1.0
06.13.19.47.56.370	 Left: 0.0 Right: -1.0
06.13.19.47.56.621	 Left: 2.0 Right: -1.0
06.13.19.47.56.871	 Left: 2.0 Right: -1.0
06.13.19.47.57.121	 Left: 2.0 Right: -1.0
06.13.19.47.57.372	 Left: 2.0 Right: -1.0
06.13.19.47.57.622	 Left: 2.0 Right: -1.0
06.13.19.47.57.872	 Left: 2.0 Right: -1.0
06.13.19.47.58.123	 Left: 2.0 Right: -1.0
06.13.19.47.58.373	 Left: 2.0 Right: -1.0
06.13.19.47.58.624	 Left: 0.0 Right: -1.0
06.13.19.47.58.874	 Left: 2.0 Right: -1.0
06.13.19.47.59.125	 Left: 1.0 Right: -1.0
06.13.19.47.59.375	 Left: 1.0 Right: -1.0
06.13.19.47.59.627	 Left: 1.0 Right: -1.0
06.13.19.47.59.875	 Left: 1.0 Right: -1.0
06.13.19.48.00.127	 Left: 1.0 Right: -1.0
06.13.19.48.00.377	 Left: 1.0 Right: -1.0
06.13.19.48.00.629	 Left: 1.0 Right: -1.0
06.13.19.48.00.880	 Left: 1.0 Right: -1.0
06.13.19.48.01.131	 Left: 1.0 Right: -1.0
06.13.19.48.01.382	 Left: 1.0 Right: -1.0
06.13.19.48.01.633	 Left: 1.0 Right: -1.0
06.13.19.48.01.885	 Left: 1.0 Right: -1.0
06.13.19.48.02.136	 Left: 1.0 Right: -1.0
06.13.19.48.02.386	 Left: 1.0 Right: -1.0
06.13.19.48.02.637	 Left: 1.0 Right: -1.0
06.13.19.48.02.887	 Left: 1.0 Right: -1.0
06.13.19.48.03.138	 Left: 1.0 Right: -1.0
06.13.19.48.03.387	 Left: 1.0 Right: -1.0
06.13.19.48.03.638	 Left: 1.0 Right: -1.0
06.13.19.48.03.889	 Left: 1.0 Right: -1.0
06.13.19.48.04.140	 Left: 1.0 Right: -1.0
06.13.19.48.04.390	 Left: 1.0 Right: -1.0
06.13.19.48.04.641	 Left: 1.0 Right: -1.0
06.13.19.48.04.892	 Left: 1.0 Right: -1.0
06.13.19.48.05.142	 Left: 1.0 Right: -1.0
06.13.19.48.05.393	 Left: 1.0 Right: -1.0
06.13.19.48.05.646	 Left: 1.0 Right: -1.0
06.13.19.48.05.897	 Left: 1.0 Right: -1.0
06.13.19.48.06.148	 Left: 1.0 Right: -1.0
06.13.19.48.06.398	 Left: 1.0 Right: -1.0
06.13.19.48.06.649	 Left: 1.0 Right: -1.0
06.13.19.48.06.899	 Left: 1.0 Right: -1.0
06.13.19.48.07.151	 Left: 1.0 Right: -1.0
06.13.19.48.07.402	 Left: 1.0 Right: -1.0
06.13.19.48.07.652	 Left: 1.0 Right: -1.0
06.13.19.48.07.903	 Left: 1.0 Right: -1.0
06.13.19.48.08.157	 Left: 1.0 Right: -1.0
06.13.19.48.08.410	 Left: 1.0 Right: -1.0
06.13.19.48.08.660	 Left: 1.0 Right: -1.0
06.13.19.48.08.910	 Left: 1.0 Right: -1.0
06.13.19.48.09.161	 Left: 1.0 Right: -1.0
06.13.19.48.09.410	 Left: 1.0 Right: -1.0
06.13.19.48.09.662	 Left: 1.0 Right: -1.0
06.13.19.48.09.913	 Left: 1.0 Right: -1.0
06.13.19.48.10.163	 Left: 1.0 Right: -1.0
06.13.19.48.10.414	 Left: 1.0 Right: -1.0
06.13.19.48.10.664	 Left: 1.0 Right: -1.0
06.13.19.48.10.914	 Left: 1.0 Right: -1.0
06.13.19.48.11.166	 Left: 1.0 Right: -1.0
06.13.19.48.11.418	 Left: 1.0 Right: -1.0
06.13.19.48.11.668	 Left: 1.0 Right: -1.0
06.13.19.48.11.920	 Left: 1.0 Right: -1.0
06.13.19.48.12.169	 Left: 1.0 Right: -1.0
06.13.19.48.12.419	 Left: 1.0 Right: -1.0
06.13.19.48.12.669	 Left: 1.0 Right: -1.0
06.13.19.48.12.920	 Left: 1.0 Right: -1.0
06.13.19.48.13.171	 Left: 1.0 Right: -1.0
06.13.19.48.13.422	 Left: 1.0 Right: -1.0
06.13.19.48.13.673	 Left: 1.0 Right: -1.0
06.13.19.48.13.924	 Left: 1.0 Right: -1.0
