06.14.12.41.43.625	 Left: -1.0 Right: 1.0
06.14.12.41.43.877	 Left: -1.0 Right: 1.0
06.14.12.41.44.127	 Left: -1.0 Right: 1.0
06.14.12.41.44.378	 Left: -1.0 Right: 1.0
06.14.12.41.44.628	 Left: -1.0 Right: 1.0
06.14.12.41.44.879	 Left: -1.0 Right: 1.0
06.14.12.41.45.130	 Left: -1.0 Right: 1.0
06.14.12.41.45.381	 Left: -1.0 Right: 1.0
06.14.12.41.45.631	 Left: -1.0 Right: 1.0
06.14.12.41.45.883	 Left: -1.0 Right: 1.0
06.14.12.41.46.133	 Left: -1.0 Right: 1.0
06.14.12.41.46.383	 Left: -1.0 Right: 4.0
06.14.12.41.46.634	 Left: -1.0 Right: 4.0
06.14.12.41.46.886	 Left: -1.0 Right: 4.0
06.14.12.41.47.136	 Left: -1.0 Right: 4.0
06.14.12.41.47.387	 Left: -1.0 Right: 4.0
06.14.12.41.47.638	 Left: -1.0 Right: 4.0
06.14.12.41.47.890	 Left: -1.0 Right: 4.0
06.14.12.41.48.140	 Left: -1.0 Right: 4.0
06.14.12.41.48.392	 Left: -1.0 Right: 4.0
06.14.12.41.48.643	 Left: -1.0 Right: 0.0
06.14.12.41.48.894	 Left: -1.0 Right: 1.0
06.14.12.41.49.144	 Left: -1.0 Right: 1.0
06.14.12.41.49.395	 Left: -1.0 Right: 1.0
06.14.12.41.49.646	 Left: -1.0 Right: 1.0
06.14.12.41.49.897	 Left: -1.0 Right: 1.0
06.14.12.41.50.148	 Left: -1.0 Right: 1.0
06.14.12.41.50.398	 Left: -1.0 Right: 1.0
06.14.12.41.50.648	 Left: -1.0 Right: 1.0
06.14.12.41.50.900	 Left: -1.0 Right: 1.0
06.14.12.41.51.151	 Left: -1.0 Right: 1.0
06.14.12.41.51.401	 Left: -1.0 Right: 1.0
06.14.12.41.51.653	 Left: -1.0 Right: 1.0
06.14.12.41.51.903	 Left: -1.0 Right: 1.0
06.14.12.41.52.155	 Left: -1.0 Right: 1.0
06.14.12.41.52.405	 Left: -1.0 Right: 1.0
06.14.12.41.52.656	 Left: -1.0 Right: 1.0
06.14.12.41.52.911	 Left: -1.0 Right: 1.0
06.14.12.41.53.157	 Left: -1.0 Right: 1.0
06.14.12.41.53.407	 Left: -1.0 Right: 1.0
06.14.12.41.53.658	 Left: -1.0 Right: 1.0
06.14.12.41.53.908	 Left: -1.0 Right: 1.0
06.14.12.41.54.158	 Left: -1.0 Right: 1.0
06.14.12.41.54.408	 Left: -1.0 Right: 1.0
06.14.12.41.54.659	 Left: -1.0 Right: 1.0
06.14.12.41.54.909	 Left: -1.0 Right: 1.0
06.14.12.41.55.160	 Left: -1.0 Right: 1.0
06.14.12.41.55.411	 Left: -1.0 Right: 1.0
06.14.12.41.55.661	 Left: -1.0 Right: 1.0
06.14.12.41.55.911	 Left: -1.0 Right: 1.0
06.14.12.41.56.163	 Left: -1.0 Right: 1.0
06.14.12.41.56.414	 Left: -1.0 Right: 1.0
06.14.12.41.56.666	 Left: -1.0 Right: 1.0
06.14.12.41.56.916	 Left: -1.0 Right: 1.0
06.14.12.41.57.167	 Left: -1.0 Right: 1.0
06.14.12.41.57.417	 Left: -1.0 Right: 1.0
06.14.12.41.57.669	 Left: -1.0 Right: 1.0
06.14.12.41.57.919	 Left: -1.0 Right: 1.0
06.14.12.41.58.169	 Left: -1.0 Right: 1.0
06.14.12.41.58.420	 Left: -1.0 Right: 1.0
06.14.12.41.58.671	 Left: -1.0 Right: 1.0
06.14.12.41.58.922	 Left: -1.0 Right: 1.0
06.14.12.41.59.173	 Left: -1.0 Right: 1.0
06.14.12.41.59.424	 Left: -1.0 Right: 1.0
06.14.12.41.59.674	 Left: -1.0 Right: 1.0
06.14.12.41.59.925	 Left: -1.0 Right: 1.0
06.14.12.42.00.175	 Left: -1.0 Right: 1.0
06.14.12.42.00.427	 Left: -1.0 Right: 1.0
06.14.12.42.00.678	 Left: -1.0 Right: 1.0
06.14.12.42.00.928	 Left: -1.0 Right: 1.0
06.14.12.42.01.180	 Left: -1.0 Right: 1.0
06.14.12.42.01.430	 Left: -1.0 Right: 1.0
06.14.12.42.01.680	 Left: -1.0 Right: 1.0
06.14.12.42.01.931	 Left: -1.0 Right: 1.0
06.14.12.42.02.182	 Left: -1.0 Right: 4.0
06.14.12.42.02.433	 Left: -1.0 Right: 4.0
06.14.12.42.02.683	 Left: -1.0 Right: 0.0
06.14.12.42.02.933	 Left: -1.0 Right: 3.0
06.14.12.42.03.184	 Left: -1.0 Right: 3.0
06.14.12.42.03.434	 Left: -1.0 Right: 1.0
06.14.12.42.03.685	 Left: -1.0 Right: 1.0
06.14.12.42.03.935	 Left: -1.0 Right: 1.0
06.14.12.42.04.187	 Left: -1.0 Right: 1.0
06.14.12.42.04.437	 Left: -1.0 Right: 1.0
06.14.12.42.04.687	 Left: -1.0 Right: 1.0
06.14.12.42.04.938	 Left: -1.0 Right: 1.0
06.14.12.42.05.188	 Left: -1.0 Right: 1.0
06.14.12.42.05.439	 Left: -1.0 Right: 1.0
06.14.12.42.05.689	 Left: -1.0 Right: 1.0
06.14.12.42.05.940	 Left: -1.0 Right: 1.0
06.14.12.42.06.190	 Left: -1.0 Right: 1.0
06.14.12.42.06.440	 Left: -1.0 Right: 1.0
06.14.12.42.06.691	 Left: -1.0 Right: 1.0
06.14.12.42.06.942	 Left: -1.0 Right: 1.0
06.14.12.42.07.192	 Left: -1.0 Right: 1.0
06.14.12.42.07.443	 Left: -1.0 Right: 1.0
06.14.12.42.07.693	 Left: -1.0 Right: 4.0
06.14.12.42.07.944	 Left: -1.0 Right: 4.0
06.14.12.42.08.195	 Left: -1.0 Right: 4.0
06.14.12.42.08.445	 Left: -1.0 Right: 4.0
06.14.12.42.08.696	 Left: -1.0 Right: 4.0
06.14.12.42.08.946	 Left: -1.0 Right: 1.0
06.14.12.42.09.197	 Left: -1.0 Right: 1.0
06.14.12.42.09.449	 Left: -1.0 Right: 1.0
06.14.12.42.09.700	 Left: -1.0 Right: 1.0
06.14.12.42.09.951	 Left: -1.0 Right: 1.0
06.14.12.42.10.201	 Left: -1.0 Right: 1.0
06.14.12.42.10.452	 Left: -1.0 Right: 1.0
06.14.12.42.10.703	 Left: -1.0 Right: 1.0
06.14.12.42.10.954	 Left: -1.0 Right: 1.0
06.14.12.42.11.204	 Left: -1.0 Right: 1.0
06.14.12.42.11.455	 Left: -1.0 Right: 1.0
06.14.12.42.11.706	 Left: -1.0 Right: 1.0
06.14.12.42.11.957	 Left: -1.0 Right: 1.0
06.14.12.42.12.207	 Left: -1.0 Right: 1.0
06.14.12.42.12.458	 Left: -1.0 Right: 1.0
06.14.12.42.12.709	 Left: -1.0 Right: 1.0
06.14.12.42.12.959	 Left: -1.0 Right: 1.0
06.14.12.42.13.210	 Left: -1.0 Right: 1.0
06.14.12.42.13.460	 Left: -1.0 Right: 1.0
06.14.12.42.13.712	 Left: -1.0 Right: 1.0
06.14.12.42.13.963	 Left: -1.0 Right: 1.0
06.14.12.42.14.213	 Left: -1.0 Right: 1.0
06.14.12.42.14.464	 Left: -1.0 Right: 1.0
06.14.12.42.14.714	 Left: -1.0 Right: 1.0
06.14.12.42.14.964	 Left: -1.0 Right: 1.0
06.14.12.42.15.215	 Left: -1.0 Right: 1.0
06.14.12.42.15.466	 Left: -1.0 Right: 1.0
06.14.12.42.15.716	 Left: -1.0 Right: 1.0
06.14.12.42.15.966	 Left: -1.0 Right: 1.0
06.14.12.42.16.217	 Left: -1.0 Right: 1.0
06.14.12.42.16.468	 Left: -1.0 Right: 1.0
06.14.12.42.16.718	 Left: -1.0 Right: 1.0
06.14.12.42.16.969	 Left: -1.0 Right: 1.0
06.14.12.42.17.220	 Left: -1.0 Right: 1.0
06.14.12.42.17.471	 Left: -1.0 Right: 1.0
06.14.12.42.17.722	 Left: -1.0 Right: 1.0
06.14.12.42.17.972	 Left: -1.0 Right: 1.0
06.14.12.42.18.223	 Left: -1.0 Right: 4.0
06.14.12.42.18.473	 Left: -1.0 Right: 4.0
06.14.12.42.18.724	 Left: -1.0 Right: 4.0
06.14.12.42.18.974	 Left: -1.0 Right: 4.0
06.14.12.42.19.224	 Left: -1.0 Right: 4.0
06.14.12.42.19.475	 Left: -1.0 Right: 4.0
06.14.12.42.19.726	 Left: -1.0 Right: 4.0
06.14.12.42.19.978	 Left: -1.0 Right: 4.0
06.14.12.42.20.229	 Left: -1.0 Right: 4.0
06.14.12.42.20.479	 Left: -1.0 Right: 4.0
06.14.12.42.20.730	 Left: -1.0 Right: 1.0
06.14.12.42.20.980	 Left: -1.0 Right: 1.0
06.14.12.42.21.231	 Left: -1.0 Right: 1.0
06.14.12.42.21.482	 Left: -1.0 Right: 1.0
06.14.12.42.21.732	 Left: -1.0 Right: 1.0
06.14.12.42.21.984	 Left: -1.0 Right: 1.0
06.14.12.42.22.233	 Left: -1.0 Right: 1.0
06.14.12.42.22.483	 Left: -1.0 Right: 0.0
06.14.12.42.22.734	 Left: -1.0 Right: 4.0
06.14.12.42.22.984	 Left: -1.0 Right: 4.0
06.14.12.42.23.235	 Left: -1.0 Right: 4.0
06.14.12.42.23.486	 Left: -1.0 Right: 4.0
06.14.12.42.23.736	 Left: -1.0 Right: 1.0
06.14.12.42.23.987	 Left: -1.0 Right: 1.0
06.14.12.42.24.237	 Left: -1.0 Right: 1.0
06.14.12.42.24.487	 Left: -1.0 Right: 1.0
06.14.12.42.24.738	 Left: -1.0 Right: 1.0
06.14.12.42.24.988	 Left: -1.0 Right: 1.0
06.14.12.42.25.238	 Left: -1.0 Right: 1.0
06.14.12.42.25.488	 Left: -1.0 Right: 1.0
06.14.12.42.25.739	 Left: -1.0 Right: 1.0
06.14.12.42.25.990	 Left: -1.0 Right: 1.0
06.14.12.42.26.241	 Left: -1.0 Right: 1.0
06.14.12.42.26.491	 Left: -1.0 Right: 1.0
06.14.12.42.26.741	 Left: -1.0 Right: 1.0
06.14.12.42.26.992	 Left: -1.0 Right: 1.0
