05.25.10.08.13.776	 Left: -1.0 Right: -1.0
05.25.10.08.14.021	 Left: -1.0 Right: -1.0
05.25.10.08.14.271	 Left: -1.0 Right: -1.0
05.25.10.08.14.522	 Left: -1.0 Right: -1.0
05.25.10.08.14.772	 Left: -1.0 Right: -1.0
05.25.10.08.15.022	 Left: -1.0 Right: -1.0
05.25.10.08.15.272	 Left: -1.0 Right: -1.0
05.25.10.08.15.522	 Left: -1.0 Right: -1.0
05.25.10.08.15.772	 Left: -1.0 Right: -1.0
05.25.10.08.16.023	 Left: -1.0 Right: -1.0
05.25.10.08.16.274	 Left: -1.0 Right: -1.0
05.25.10.08.16.524	 Left: -1.0 Right: -1.0
05.25.10.08.16.774	 Left: -1.0 Right: -1.0
05.25.10.08.17.025	 Left: -1.0 Right: -1.0
05.25.10.08.17.275	 Left: -1.0 Right: -1.0
05.25.10.08.17.526	 Left: -1.0 Right: -1.0
05.25.10.08.17.776	 Left: -1.0 Right: -1.0
05.25.10.08.18.027	 Left: -1.0 Right: -1.0
05.25.10.08.18.277	 Left: -1.0 Right: -1.0
05.25.10.08.18.529	 Left: -1.0 Right: -1.0
05.25.10.08.18.779	 Left: -1.0 Right: -1.0
05.25.10.08.19.030	 Left: -1.0 Right: -1.0
05.25.10.08.19.280	 Left: -1.0 Right: -1.0
05.25.10.08.19.531	 Left: -1.0 Right: -1.0
05.25.10.08.19.783	 Left: -1.0 Right: -1.0
05.25.10.08.20.033	 Left: -1.0 Right: -1.0
05.25.10.08.20.285	 Left: -1.0 Right: -1.0
05.25.10.08.20.534	 Left: -1.0 Right: -1.0
05.25.10.08.20.785	 Left: -1.0 Right: -1.0
05.25.10.08.21.035	 Left: -1.0 Right: -1.0
05.25.10.08.21.286	 Left: -1.0 Right: -1.0
05.25.10.08.21.536	 Left: -1.0 Right: -1.0
05.25.10.08.21.787	 Left: -1.0 Right: -1.0
05.25.10.08.22.037	 Left: -1.0 Right: -1.0
05.25.10.08.22.288	 Left: -1.0 Right: -1.0
05.25.10.08.22.538	 Left: -1.0 Right: -1.0
05.25.10.08.22.789	 Left: -1.0 Right: -1.0
05.25.10.08.23.039	 Left: -1.0 Right: -1.0
05.25.10.08.23.290	 Left: -1.0 Right: -1.0
05.25.10.08.23.540	 Left: -1.0 Right: -1.0
05.25.10.08.23.790	 Left: -1.0 Right: -1.0
05.25.10.08.24.041	 Left: -1.0 Right: -1.0
05.25.10.08.24.291	 Left: -1.0 Right: -1.0
05.25.10.08.24.541	 Left: -1.0 Right: -1.0
05.25.10.08.24.792	 Left: -1.0 Right: -1.0
05.25.10.08.25.042	 Left: -1.0 Right: -1.0
05.25.10.08.25.292	 Left: -1.0 Right: -1.0
05.25.10.08.25.542	 Left: -1.0 Right: -1.0
05.25.10.08.25.793	 Left: -1.0 Right: -1.0
05.25.10.08.26.043	 Left: 0.0 Right: -1.0
05.25.10.08.26.294	 Left: 1.0 Right: -1.0
05.25.10.08.26.544	 Left: 1.0 Right: 1.0
05.25.10.08.26.794	 Left: 1.0 Right: 1.0
05.25.10.08.27.045	 Left: 1.0 Right: 1.0
05.25.10.08.27.295	 Left: 1.0 Right: 1.0
05.25.10.08.27.545	 Left: 1.0 Right: 1.0
05.25.10.08.27.796	 Left: 1.0 Right: 1.0
