06.10.15.14.15.927	 Left: 1.0 Right: 1.0
06.10.15.14.16.177	 Left: 1.0 Right: 1.0
06.10.15.14.16.428	 Left: 1.0 Right: 1.0
06.10.15.14.16.679	 Left: 1.0 Right: 1.0
06.10.15.14.16.929	 Left: 1.0 Right: 1.0
06.10.15.14.17.180	 Left: 1.0 Right: 1.0
06.10.15.14.17.430	 Left: 1.0 Right: 1.0
06.10.15.14.17.680	 Left: 1.0 Right: 1.0
06.10.15.14.17.930	 Left: 1.0 Right: 1.0
06.10.15.14.18.181	 Left: 1.0 Right: 1.0
06.10.15.14.18.431	 Left: 1.0 Right: 1.0
06.10.15.14.18.683	 Left: 1.0 Right: 1.0
06.10.15.14.18.932	 Left: 1.0 Right: 1.0
06.10.15.14.19.182	 Left: 1.0 Right: 1.0
06.10.15.14.19.432	 Left: 1.0 Right: 1.0
06.10.15.14.19.683	 Left: 1.0 Right: 1.0
06.10.15.14.19.933	 Left: 1.0 Right: 1.0
06.10.15.14.20.183	 Left: 1.0 Right: 1.0
06.10.15.14.20.433	 Left: 1.0 Right: 1.0
06.10.15.14.20.683	 Left: 1.0 Right: 1.0
06.10.15.14.20.935	 Left: 1.0 Right: 1.0
06.10.15.14.21.184	 Left: 1.0 Right: 1.0
06.10.15.14.21.434	 Left: 1.0 Right: 1.0
06.10.15.14.21.684	 Left: 1.0 Right: 1.0
06.10.15.14.21.935	 Left: 1.0 Right: 1.0
06.10.15.14.22.185	 Left: 1.0 Right: 1.0
06.10.15.14.22.435	 Left: 1.0 Right: 1.0
06.10.15.14.22.686	 Left: 1.0 Right: 1.0
06.10.15.14.22.936	 Left: 1.0 Right: 1.0
06.10.15.14.23.186	 Left: 1.0 Right: 1.0
06.10.15.14.23.437	 Left: 1.0 Right: 1.0
06.10.15.14.23.687	 Left: 1.0 Right: 1.0
06.10.15.14.23.937	 Left: 1.0 Right: 1.0
06.10.15.14.24.188	 Left: 1.0 Right: 1.0
06.10.15.14.24.438	 Left: 1.0 Right: 1.0
06.10.15.14.24.689	 Left: 1.0 Right: 1.0
06.10.15.14.24.939	 Left: 1.0 Right: 1.0
06.10.15.14.25.189	 Left: 1.0 Right: 1.0
06.10.15.14.25.440	 Left: 1.0 Right: 1.0
06.10.15.14.25.691	 Left: 1.0 Right: 1.0
06.10.15.14.25.941	 Left: 2.0 Right: 1.0
06.10.15.14.26.191	 Left: 2.0 Right: 1.0
06.10.15.14.26.441	 Left: 2.0 Right: 1.0
06.10.15.14.26.692	 Left: 2.0 Right: 1.0
06.10.15.14.26.942	 Left: 2.0 Right: 1.0
06.10.15.14.27.192	 Left: 2.0 Right: 1.0
06.10.15.14.27.443	 Left: 2.0 Right: 1.0
06.10.15.14.27.693	 Left: 2.0 Right: 1.0
06.10.15.14.27.943	 Left: 2.0 Right: 1.0
06.10.15.14.28.194	 Left: 2.0 Right: 1.0
06.10.15.14.28.444	 Left: 2.0 Right: 1.0
06.10.15.14.28.694	 Left: 2.0 Right: 1.0
06.10.15.14.28.944	 Left: 2.0 Right: 1.0
06.10.15.14.29.194	 Left: 2.0 Right: 1.0
06.10.15.14.29.445	 Left: 2.0 Right: 1.0
06.10.15.14.29.696	 Left: 2.0 Right: 1.0
06.10.15.14.29.946	 Left: 2.0 Right: 1.0
06.10.15.14.30.197	 Left: 2.0 Right: 1.0
06.10.15.14.30.446	 Left: 2.0 Right: 1.0
06.10.15.14.30.696	 Left: 2.0 Right: 1.0
06.10.15.14.30.946	 Left: 2.0 Right: 1.0
06.10.15.14.31.196	 Left: 2.0 Right: 1.0
06.10.15.14.31.447	 Left: 2.0 Right: 1.0
06.10.15.14.31.697	 Left: 2.0 Right: 1.0
06.10.15.14.31.948	 Left: 2.0 Right: 1.0
06.10.15.14.32.198	 Left: 2.0 Right: 1.0
06.10.15.14.32.448	 Left: 2.0 Right: 1.0
06.10.15.14.32.698	 Left: 2.0 Right: 1.0
06.10.15.14.32.948	 Left: 2.0 Right: 1.0
06.10.15.14.33.198	 Left: 2.0 Right: 1.0
06.10.15.14.33.449	 Left: 2.0 Right: 1.0
06.10.15.14.33.699	 Left: 2.0 Right: 1.0
06.10.15.14.33.949	 Left: 2.0 Right: 1.0
06.10.15.14.34.200	 Left: 2.0 Right: 1.0
06.10.15.14.34.450	 Left: 1.0 Right: 1.0
06.10.15.14.34.701	 Left: 1.0 Right: 1.0
06.10.15.14.34.951	 Left: 1.0 Right: 1.0
06.10.15.14.35.201	 Left: 1.0 Right: 1.0
06.10.15.14.35.451	 Left: 1.0 Right: 1.0
06.10.15.14.35.702	 Left: 1.0 Right: 1.0
06.10.15.14.35.953	 Left: 1.0 Right: 1.0
06.10.15.14.36.202	 Left: 1.0 Right: 1.0
06.10.15.14.36.453	 Left: 1.0 Right: 1.0
06.10.15.14.36.703	 Left: 1.0 Right: 1.0
06.10.15.14.36.953	 Left: 1.0 Right: 1.0
06.10.15.14.37.203	 Left: 1.0 Right: 1.0
06.10.15.14.37.454	 Left: 1.0 Right: 1.0
06.10.15.14.37.705	 Left: 2.0 Right: 1.0
06.10.15.14.37.955	 Left: 2.0 Right: 1.0
06.10.15.14.38.205	 Left: 2.0 Right: 1.0
06.10.15.14.38.455	 Left: 2.0 Right: 1.0
06.10.15.14.38.705	 Left: 2.0 Right: 1.0
06.10.15.14.38.957	 Left: 2.0 Right: 1.0
06.10.15.14.39.206	 Left: 2.0 Right: 1.0
06.10.15.14.39.457	 Left: 2.0 Right: 1.0
06.10.15.14.39.707	 Left: 1.0 Right: 1.0
06.10.15.14.39.957	 Left: 1.0 Right: 1.0
06.10.15.14.40.208	 Left: 1.0 Right: 1.0
06.10.15.14.40.458	 Left: 1.0 Right: 1.0
06.10.15.14.40.708	 Left: 1.0 Right: 1.0
06.10.15.14.40.959	 Left: 1.0 Right: 1.0
06.10.15.14.41.209	 Left: 1.0 Right: 1.0
06.10.15.14.41.459	 Left: 1.0 Right: 1.0
06.10.15.14.41.710	 Left: 2.0 Right: 1.0
06.10.15.14.41.960	 Left: 2.0 Right: 1.0
06.10.15.14.42.210	 Left: -1.0 Right: 1.0
06.10.15.14.42.461	 Left: -1.0 Right: 1.0
06.10.15.14.42.711	 Left: -1.0 Right: 1.0
06.10.15.14.42.961	 Left: -1.0 Right: 1.0
06.10.15.14.43.211	 Left: -1.0 Right: 1.0
06.10.15.14.43.463	 Left: -1.0 Right: 1.0
06.10.15.14.43.712	 Left: -1.0 Right: 0.0
06.10.15.14.43.963	 Left: -1.0 Right: 2.0
06.10.15.14.44.213	 Left: -1.0 Right: 2.0
06.10.15.14.44.463	 Left: -1.0 Right: 2.0
06.10.15.14.44.714	 Left: -1.0 Right: 2.0
06.10.15.14.44.964	 Left: -1.0 Right: 0.0
06.10.15.14.45.214	 Left: -1.0 Right: 2.0
