05.23.11.00.01.938	 Left: 1.0 Right: 3.0
05.23.11.00.02.188	 Left: 1.0 Right: 3.0
05.23.11.00.02.438	 Left: 1.0 Right: 3.0
05.23.11.00.02.688	 Left: 1.0 Right: 3.0
05.23.11.00.02.938	 Left: 1.0 Right: 3.0
05.23.11.00.03.189	 Left: 1.0 Right: 3.0
05.23.11.00.03.440	 Left: 1.0 Right: 3.0
05.23.11.00.03.690	 Left: 1.0 Right: 3.0
05.23.11.00.03.941	 Left: 1.0 Right: 3.0
05.23.11.00.04.191	 Left: 1.0 Right: 3.0
05.23.11.00.04.441	 Left: 1.0 Right: 3.0
05.23.11.00.04.691	 Left: 1.0 Right: 3.0
05.23.11.00.04.941	 Left: 1.0 Right: 3.0
05.23.11.00.05.192	 Left: 1.0 Right: 3.0
05.23.11.00.05.442	 Left: 1.0 Right: 3.0
05.23.11.00.05.692	 Left: 1.0 Right: 3.0
05.23.11.00.05.942	 Left: 1.0 Right: 3.0
05.23.11.00.06.192	 Left: 1.0 Right: 3.0
05.23.11.00.06.443	 Left: 1.0 Right: 3.0
05.23.11.00.06.693	 Left: 1.0 Right: 3.0
05.23.11.00.06.944	 Left: 1.0 Right: 3.0
05.23.11.00.07.195	 Left: 1.0 Right: 3.0
05.23.11.00.07.445	 Left: 1.0 Right: 3.0
05.23.11.00.07.695	 Left: 1.0 Right: 3.0
05.23.11.00.07.945	 Left: 1.0 Right: 3.0
05.23.11.00.08.196	 Left: 1.0 Right: 3.0
05.23.11.00.08.446	 Left: 1.0 Right: 3.0
05.23.11.00.08.696	 Left: 1.0 Right: 3.0
05.23.11.00.08.946	 Left: 1.0 Right: 3.0
05.23.11.00.09.196	 Left: 1.0 Right: 3.0
05.23.11.00.09.447	 Left: 1.0 Right: 3.0
05.23.11.00.09.697	 Left: 1.0 Right: 3.0
05.23.11.00.09.947	 Left: 1.0 Right: 3.0
05.23.11.00.10.197	 Left: 1.0 Right: 3.0
05.23.11.00.10.448	 Left: 1.0 Right: 3.0
05.23.11.00.10.698	 Left: 1.0 Right: 3.0
05.23.11.00.10.948	 Left: 1.0 Right: 3.0
05.23.11.00.11.199	 Left: 1.0 Right: 3.0
05.23.11.00.11.449	 Left: 1.0 Right: 3.0
05.23.11.00.11.699	 Left: 1.0 Right: 3.0
05.23.11.00.11.949	 Left: 1.0 Right: 3.0
05.23.11.00.12.200	 Left: 1.0 Right: 3.0
05.23.11.00.12.451	 Left: 1.0 Right: 3.0
05.23.11.00.12.701	 Left: 1.0 Right: 3.0
05.23.11.00.12.951	 Left: 1.0 Right: 3.0
05.23.11.00.13.201	 Left: 1.0 Right: 3.0
05.23.11.00.13.452	 Left: 1.0 Right: 3.0
05.23.11.00.13.702	 Left: 1.0 Right: 3.0
05.23.11.00.13.952	 Left: 1.0 Right: 3.0
05.23.11.00.14.202	 Left: 1.0 Right: 3.0
05.23.11.00.14.452	 Left: 1.0 Right: 3.0
05.23.11.00.14.702	 Left: 1.0 Right: 3.0
05.23.11.00.14.953	 Left: 1.0 Right: 3.0
05.23.11.00.15.203	 Left: 1.0 Right: 3.0
05.23.11.00.15.453	 Left: 1.0 Right: 3.0
05.23.11.00.15.704	 Left: 1.0 Right: 3.0
05.23.11.00.15.954	 Left: 1.0 Right: 3.0
05.23.11.00.16.204	 Left: 1.0 Right: 3.0
05.23.11.00.16.455	 Left: 1.0 Right: 3.0
05.23.11.00.16.705	 Left: 1.0 Right: 3.0
05.23.11.00.16.956	 Left: 1.0 Right: 3.0
05.23.11.00.17.206	 Left: 1.0 Right: 3.0
05.23.11.00.17.456	 Left: 1.0 Right: 3.0
