06.13.19.44.25.219	 Left: -1.0 Right: -1.0
06.13.19.44.25.436	 Left: 1.0 Right: 1.0
06.13.19.44.25.686	 Left: 1.0 Right: 1.0
06.13.19.44.25.936	 Left: 1.0 Right: 1.0
06.13.19.44.26.187	 Left: 1.0 Right: 1.0
06.13.19.44.26.438	 Left: 1.0 Right: 1.0
06.13.19.44.26.688	 Left: 1.0 Right: 1.0
06.13.19.44.26.939	 Left: 1.0 Right: 1.0
06.13.19.44.27.189	 Left: 1.0 Right: 1.0
06.13.19.44.27.439	 Left: 1.0 Right: 1.0
06.13.19.44.27.690	 Left: 1.0 Right: 1.0
06.13.19.44.27.941	 Left: 1.0 Right: 1.0
06.13.19.44.28.191	 Left: 1.0 Right: 1.0
06.13.19.44.28.443	 Left: 1.0 Right: 1.0
06.13.19.44.28.694	 Left: 1.0 Right: 1.0
06.13.19.44.28.945	 Left: 1.0 Right: 1.0
06.13.19.44.29.196	 Left: 1.0 Right: 1.0
06.13.19.44.29.447	 Left: 1.0 Right: 3.0
06.13.19.44.29.697	 Left: 1.0 Right: 3.0
06.13.19.44.29.948	 Left: 1.0 Right: 3.0
06.13.19.44.30.198	 Left: 1.0 Right: 3.0
06.13.19.44.30.448	 Left: 1.0 Right: 0.0
06.13.19.44.30.698	 Left: 1.0 Right: 1.0
06.13.19.44.30.949	 Left: 1.0 Right: 1.0
06.13.19.44.31.200	 Left: 1.0 Right: 1.0
06.13.19.44.31.451	 Left: -1.0 Right: 1.0
06.13.19.44.31.702	 Left: -1.0 Right: 1.0
06.13.19.44.31.952	 Left: -1.0 Right: 1.0
06.13.19.44.32.204	 Left: -1.0 Right: 1.0
06.13.19.44.32.454	 Left: -1.0 Right: 1.0
06.13.19.44.32.705	 Left: -1.0 Right: 1.0
06.13.19.44.32.955	 Left: -1.0 Right: 1.0
06.13.19.44.33.205	 Left: -1.0 Right: 1.0
06.13.19.44.33.456	 Left: -1.0 Right: 1.0
06.13.19.44.33.706	 Left: 1.0 Right: 1.0
06.13.19.44.33.958	 Left: 1.0 Right: 1.0
06.13.19.44.34.208	 Left: 1.0 Right: 4.0
06.13.19.44.34.460	 Left: 1.0 Right: 4.0
06.13.19.44.34.710	 Left: 1.0 Right: 4.0
06.13.19.44.34.960	 Left: 1.0 Right: 4.0
06.13.19.44.35.210	 Left: 1.0 Right: 4.0
06.13.19.44.35.460	 Left: 1.0 Right: 4.0
06.13.19.44.35.711	 Left: 1.0 Right: 4.0
06.13.19.44.35.961	 Left: 1.0 Right: 4.0
06.13.19.44.36.212	 Left: 1.0 Right: 4.0
06.13.19.44.36.463	 Left: 1.0 Right: 4.0
06.13.19.44.36.715	 Left: 1.0 Right: 3.0
06.13.19.44.36.965	 Left: 1.0 Right: 0.0
06.13.19.44.37.215	 Left: 1.0 Right: 3.0
06.13.19.44.37.465	 Left: 1.0 Right: 1.0
06.13.19.44.37.715	 Left: 1.0 Right: 1.0
06.13.19.44.37.965	 Left: 1.0 Right: 1.0
06.13.19.44.38.217	 Left: 1.0 Right: 1.0
06.13.19.44.38.468	 Left: 1.0 Right: 1.0
06.13.19.44.38.718	 Left: 1.0 Right: 1.0
06.13.19.44.38.970	 Left: 1.0 Right: 1.0
06.13.19.44.39.221	 Left: 1.0 Right: 0.0
06.13.19.44.39.472	 Left: 1.0 Right: 3.0
06.13.19.44.39.722	 Left: 1.0 Right: 3.0
06.13.19.44.39.973	 Left: 1.0 Right: 0.0
06.13.19.44.40.223	 Left: 1.0 Right: 4.0
06.13.19.44.40.474	 Left: 1.0 Right: 4.0
06.13.19.44.40.724	 Left: 1.0 Right: 4.0
06.13.19.44.40.974	 Left: 1.0 Right: 4.0
06.13.19.44.41.225	 Left: 1.0 Right: 4.0
06.13.19.44.41.476	 Left: 1.0 Right: 4.0
06.13.19.44.41.727	 Left: 1.0 Right: 4.0
06.13.19.44.41.978	 Left: 1.0 Right: 4.0
06.13.19.44.42.229	 Left: 1.0 Right: 4.0
06.13.19.44.42.479	 Left: 1.0 Right: 4.0
06.13.19.44.42.729	 Left: 1.0 Right: 4.0
06.13.19.44.42.979	 Left: 1.0 Right: 4.0
06.13.19.44.43.231	 Left: 1.0 Right: 4.0
06.13.19.44.43.482	 Left: 1.0 Right: 4.0
06.13.19.44.43.732	 Left: 1.0 Right: 4.0
06.13.19.44.43.983	 Left: 1.0 Right: 4.0
06.13.19.44.44.234	 Left: 1.0 Right: 4.0
06.13.19.44.44.485	 Left: 1.0 Right: 4.0
06.13.19.44.44.737	 Left: 1.0 Right: 4.0
06.13.19.44.44.988	 Left: 1.0 Right: 4.0
06.13.19.44.45.237	 Left: 1.0 Right: 3.0
06.13.19.44.45.488	 Left: 1.0 Right: 3.0
06.13.19.44.45.738	 Left: 1.0 Right: 3.0
06.13.19.44.45.988	 Left: 1.0 Right: 3.0
06.13.19.44.46.238	 Left: 1.0 Right: 3.0
06.13.19.44.46.489	 Left: 1.0 Right: 3.0
06.13.19.44.46.739	 Left: 1.0 Right: 0.0
06.13.19.44.46.990	 Left: 1.0 Right: 4.0
06.13.19.44.47.241	 Left: 1.0 Right: 0.0
06.13.19.44.47.493	 Left: 1.0 Right: 4.0
06.13.19.44.47.744	 Left: 1.0 Right: 4.0
06.13.19.44.47.995	 Left: 1.0 Right: 4.0
06.13.19.44.48.246	 Left: 1.0 Right: 4.0
06.13.19.44.48.496	 Left: 1.0 Right: 0.0
06.13.19.44.48.747	 Left: 1.0 Right: 4.0
06.13.19.44.48.998	 Left: 1.0 Right: 4.0
06.13.19.44.49.248	 Left: 1.0 Right: 4.0
06.13.19.44.49.498	 Left: 1.0 Right: 4.0
06.13.19.44.49.749	 Left: 1.0 Right: 4.0
06.13.19.44.49.999	 Left: 1.0 Right: 4.0
06.13.19.44.50.249	 Left: 1.0 Right: 4.0
06.13.19.44.50.499	 Left: 1.0 Right: 4.0
06.13.19.44.50.749	 Left: 1.0 Right: 4.0
06.13.19.44.51.000	 Left: 1.0 Right: 4.0
06.13.19.44.51.250	 Left: 1.0 Right: 4.0
06.13.19.44.51.501	 Left: 1.0 Right: 4.0
06.13.19.44.51.752	 Left: 1.0 Right: 4.0
06.13.19.44.52.003	 Left: 1.0 Right: 4.0
06.13.19.44.52.254	 Left: 1.0 Right: 1.0
06.13.19.44.52.504	 Left: 1.0 Right: 1.0
06.13.19.44.52.755	 Left: 1.0 Right: 1.0
06.13.19.44.53.005	 Left: 1.0 Right: 1.0
06.13.19.44.53.257	 Left: 1.0 Right: 1.0
06.13.19.44.53.507	 Left: 1.0 Right: 1.0
06.13.19.44.53.758	 Left: 1.0 Right: 1.0
06.13.19.44.54.009	 Left: 1.0 Right: 1.0
06.13.19.44.54.259	 Left: 1.0 Right: 1.0
