06.10.14.55.51.498	 Left: -1.0 Right: -1.0
06.10.14.55.51.670	 Left: -1.0 Right: 4.0
06.10.14.55.51.921	 Left: -1.0 Right: 4.0
06.10.14.55.52.171	 Left: -1.0 Right: 4.0
06.10.14.55.52.422	 Left: -1.0 Right: 4.0
06.10.14.55.52.672	 Left: -1.0 Right: 4.0
06.10.14.55.52.923	 Left: -1.0 Right: 4.0
06.10.14.55.53.173	 Left: -1.0 Right: 4.0
06.10.14.55.53.423	 Left: -1.0 Right: 4.0
06.10.14.55.53.674	 Left: -1.0 Right: 4.0
06.10.14.55.53.925	 Left: -1.0 Right: 4.0
06.10.14.55.54.175	 Left: -1.0 Right: 4.0
06.10.14.55.54.426	 Left: -1.0 Right: 4.0
06.10.14.55.54.676	 Left: -1.0 Right: 4.0
06.10.14.55.54.927	 Left: -1.0 Right: 4.0
06.10.14.55.55.177	 Left: -1.0 Right: 4.0
06.10.14.55.55.427	 Left: -1.0 Right: 4.0
06.10.14.55.55.678	 Left: -1.0 Right: 4.0
06.10.14.55.55.928	 Left: -1.0 Right: 0.0
06.10.14.55.56.178	 Left: -1.0 Right: 4.0
06.10.14.55.56.428	 Left: -1.0 Right: 4.0
06.10.14.55.56.679	 Left: -1.0 Right: 4.0
06.10.14.55.56.929	 Left: -1.0 Right: 4.0
06.10.14.55.57.180	 Left: -1.0 Right: 4.0
06.10.14.55.57.430	 Left: -1.0 Right: 4.0
06.10.14.55.57.681	 Left: -1.0 Right: 4.0
06.10.14.55.57.931	 Left: -1.0 Right: 4.0
06.10.14.55.58.181	 Left: -1.0 Right: 4.0
06.10.14.55.58.433	 Left: -1.0 Right: 4.0
06.10.14.55.58.682	 Left: -1.0 Right: 3.0
06.10.14.55.58.933	 Left: -1.0 Right: 3.0
06.10.14.55.59.183	 Left: -1.0 Right: 3.0
06.10.14.55.59.434	 Left: -1.0 Right: 3.0
06.10.14.55.59.684	 Left: -1.0 Right: 3.0
06.10.14.55.59.934	 Left: -1.0 Right: 3.0
06.10.14.56.00.185	 Left: -1.0 Right: 3.0
06.10.14.56.00.435	 Left: -1.0 Right: 3.0
06.10.14.56.00.685	 Left: -1.0 Right: 3.0
06.10.14.56.00.935	 Left: -1.0 Right: 3.0
06.10.14.56.01.185	 Left: -1.0 Right: 3.0
06.10.14.56.01.436	 Left: -1.0 Right: 3.0
06.10.14.56.01.686	 Left: -1.0 Right: 3.0
06.10.14.56.01.936	 Left: -1.0 Right: 3.0
06.10.14.56.02.186	 Left: 1.0 Right: -1.0
06.10.14.56.02.437	 Left: 1.0 Right: -1.0
06.10.14.56.02.687	 Left: 1.0 Right: -1.0
06.10.14.56.02.937	 Left: 1.0 Right: -1.0
06.10.14.56.03.188	 Left: 1.0 Right: -1.0
06.10.14.56.03.438	 Left: 1.0 Right: -1.0
06.10.14.56.03.688	 Left: 1.0 Right: -1.0
06.10.14.56.03.938	 Left: 1.0 Right: -1.0
06.10.14.56.04.189	 Left: 1.0 Right: -1.0
06.10.14.56.04.440	 Left: 1.0 Right: -1.0
06.10.14.56.04.690	 Left: 1.0 Right: -1.0
06.10.14.56.04.942	 Left: 1.0 Right: -1.0
06.10.14.56.05.193	 Left: 1.0 Right: -1.0
06.10.14.56.05.443	 Left: 1.0 Right: -1.0
