06.14.11.42.41.278	 Left: -1.0 Right: -1.0
06.14.11.42.41.430	 Left: 2.0 Right: 0.0
06.14.11.42.41.681	 Left: 2.0 Right: 0.0
06.14.11.42.41.931	 Left: 2.0 Right: 0.0
06.14.11.42.42.181	 Left: 2.0 Right: 4.0
06.14.11.42.42.432	 Left: 2.0 Right: 4.0
06.14.11.42.42.682	 Left: 2.0 Right: 0.0
06.14.11.42.42.933	 Left: 2.0 Right: 0.0
06.14.11.42.43.184	 Left: 2.0 Right: 0.0
06.14.11.42.43.434	 Left: 1.0 Right: 0.0
06.14.11.42.43.684	 Left: 1.0 Right: 1.0
06.14.11.42.43.934	 Left: 1.0 Right: 0.0
06.14.11.42.44.184	 Left: 1.0 Right: 1.0
06.14.11.42.44.435	 Left: 1.0 Right: 1.0
06.14.11.42.44.685	 Left: 1.0 Right: 1.0
06.14.11.42.44.936	 Left: 1.0 Right: 1.0
06.14.11.42.45.186	 Left: 1.0 Right: 1.0
06.14.11.42.45.437	 Left: 1.0 Right: 1.0
06.14.11.42.45.687	 Left: 1.0 Right: 1.0
06.14.11.42.45.937	 Left: 1.0 Right: 1.0
06.14.11.42.46.187	 Left: 1.0 Right: 1.0
06.14.11.42.46.438	 Left: 1.0 Right: 1.0
06.14.11.42.46.689	 Left: 1.0 Right: 1.0
06.14.11.42.46.940	 Left: 1.0 Right: 1.0
06.14.11.42.47.192	 Left: 1.0 Right: 1.0
06.14.11.42.47.443	 Left: 1.0 Right: 0.0
06.14.11.42.47.695	 Left: 1.0 Right: 4.0
06.14.11.42.47.945	 Left: 1.0 Right: 4.0
06.14.11.42.48.196	 Left: 1.0 Right: 4.0
06.14.11.42.48.447	 Left: 1.0 Right: 4.0
06.14.11.42.48.698	 Left: 1.0 Right: 4.0
06.14.11.42.48.950	 Left: 1.0 Right: 3.0
06.14.11.42.49.200	 Left: 1.0 Right: 0.0
06.14.11.42.49.450	 Left: 1.0 Right: 3.0
06.14.11.42.49.701	 Left: 1.0 Right: 3.0
06.14.11.42.49.951	 Left: 1.0 Right: 3.0
06.14.11.42.50.202	 Left: 1.0 Right: 3.0
06.14.11.42.50.452	 Left: 1.0 Right: 4.0
06.14.11.42.50.703	 Left: 1.0 Right: 4.0
06.14.11.42.50.955	 Left: 1.0 Right: 4.0
06.14.11.42.51.204	 Left: 1.0 Right: 4.0
06.14.11.42.51.455	 Left: 1.0 Right: 4.0
06.14.11.42.51.707	 Left: 1.0 Right: 4.0
06.14.11.42.51.958	 Left: 1.0 Right: 3.0
06.14.11.42.52.208	 Left: 1.0 Right: 3.0
06.14.11.42.52.458	 Left: 1.0 Right: 3.0
06.14.11.42.52.709	 Left: 1.0 Right: 3.0
06.14.11.42.52.959	 Left: 1.0 Right: 3.0
06.14.11.42.53.209	 Left: 1.0 Right: 0.0
06.14.11.42.53.461	 Left: 1.0 Right: 0.0
06.14.11.42.53.711	 Left: 1.0 Right: 3.0
06.14.11.42.53.962	 Left: 1.0 Right: 4.0
06.14.11.42.54.213	 Left: 1.0 Right: 4.0
06.14.11.42.54.465	 Left: 1.0 Right: 0.0
06.14.11.42.54.716	 Left: 1.0 Right: 3.0
06.14.11.42.54.968	 Left: 1.0 Right: 3.0
06.14.11.42.55.218	 Left: 1.0 Right: 3.0
06.14.11.42.55.468	 Left: 1.0 Right: 3.0
06.14.11.42.55.718	 Left: 1.0 Right: 3.0
06.14.11.42.55.968	 Left: 1.0 Right: 3.0
06.14.11.42.56.219	 Left: 1.0 Right: 3.0
06.14.11.42.56.471	 Left: 1.0 Right: 3.0
06.14.11.42.56.722	 Left: 1.0 Right: 3.0
06.14.11.42.56.973	 Left: 1.0 Right: 3.0
06.14.11.42.57.225	 Left: 1.0 Right: 1.0
06.14.11.42.57.475	 Left: 1.0 Right: 1.0
06.14.11.42.57.726	 Left: 1.0 Right: 3.0
06.14.11.42.57.977	 Left: 1.0 Right: 0.0
06.14.11.42.58.226	 Left: 1.0 Right: 0.0
06.14.11.42.58.477	 Left: 1.0 Right: 0.0
06.14.11.42.58.727	 Left: 1.0 Right: 0.0
06.14.11.42.58.978	 Left: 1.0 Right: 0.0
06.14.11.42.59.228	 Left: 1.0 Right: 0.0
06.14.11.42.59.479	 Left: 1.0 Right: 0.0
06.14.11.42.59.729	 Left: 1.0 Right: 0.0
06.14.11.42.59.979	 Left: 1.0 Right: 0.0
06.14.11.43.00.229	 Left: 1.0 Right: 0.0
06.14.11.43.00.480	 Left: 1.0 Right: 0.0
06.14.11.43.00.730	 Left: 1.0 Right: 0.0
06.14.11.43.00.981	 Left: 1.0 Right: 2.0
06.14.11.43.01.232	 Left: 1.0 Right: 3.0
06.14.11.43.01.483	 Left: 1.0 Right: 3.0
06.14.11.43.01.734	 Left: 1.0 Right: 4.0
06.14.11.43.01.986	 Left: 1.0 Right: 4.0
06.14.11.43.02.236	 Left: 1.0 Right: 0.0
06.14.11.43.02.488	 Left: 1.0 Right: 0.0
06.14.11.43.02.738	 Left: 1.0 Right: 0.0
06.14.11.43.02.989	 Left: 1.0 Right: 0.0
06.14.11.43.03.241	 Left: 1.0 Right: 0.0
06.14.11.43.03.491	 Left: 1.0 Right: 0.0
06.14.11.43.03.741	 Left: 1.0 Right: 0.0
06.14.11.43.03.992	 Left: 1.0 Right: 0.0
06.14.11.43.04.242	 Left: 1.0 Right: 0.0
06.14.11.43.04.493	 Left: 1.0 Right: 0.0
06.14.11.43.04.743	 Left: 1.0 Right: 0.0
06.14.11.43.04.994	 Left: 1.0 Right: 0.0
06.14.11.43.05.245	 Left: 2.0 Right: 3.0
06.14.11.43.05.496	 Left: 2.0 Right: 1.0
06.14.11.43.05.748	 Left: 2.0 Right: 3.0
06.14.11.43.05.999	 Left: 2.0 Right: 3.0
06.14.11.43.06.250	 Left: 2.0 Right: 3.0
06.14.11.43.06.500	 Left: 2.0 Right: 3.0
06.14.11.43.06.751	 Left: 2.0 Right: 3.0
06.14.11.43.07.002	 Left: 2.0 Right: 3.0
06.14.11.43.07.252	 Left: 2.0 Right: 3.0
06.14.11.43.07.503	 Left: 2.0 Right: 3.0
06.14.11.43.07.754	 Left: 2.0 Right: 3.0
06.14.11.43.08.004	 Left: 2.0 Right: 0.0
06.14.11.43.08.254	 Left: 2.0 Right: 3.0
06.14.11.43.08.505	 Left: 2.0 Right: 0.0
06.14.11.43.08.756	 Left: 2.0 Right: 0.0
06.14.11.43.09.007	 Left: 2.0 Right: 4.0
06.14.11.43.09.257	 Left: 2.0 Right: 4.0
06.14.11.43.09.507	 Left: 2.0 Right: 4.0
06.14.11.43.09.757	 Left: 2.0 Right: 4.0
06.14.11.43.10.008	 Left: 2.0 Right: 4.0
06.14.11.43.10.259	 Left: 2.0 Right: 4.0
06.14.11.43.10.508	 Left: 2.0 Right: 4.0
06.14.11.43.10.759	 Left: 2.0 Right: 4.0
06.14.11.43.11.009	 Left: 2.0 Right: 4.0
06.14.11.43.11.260	 Left: 2.0 Right: 4.0
06.14.11.43.11.510	 Left: 2.0 Right: 0.0
06.14.11.43.11.761	 Left: 2.0 Right: 0.0
06.14.11.43.12.011	 Left: 2.0 Right: 0.0
06.14.11.43.12.262	 Left: 2.0 Right: 0.0
06.14.11.43.12.512	 Left: 2.0 Right: 0.0
06.14.11.43.12.763	 Left: 2.0 Right: 4.0
06.14.11.43.13.014	 Left: 2.0 Right: 0.0
06.14.11.43.13.265	 Left: 2.0 Right: 4.0
06.14.11.43.13.516	 Left: 2.0 Right: 4.0
06.14.11.43.13.767	 Left: 2.0 Right: 4.0
06.14.11.43.14.017	 Left: 2.0 Right: 0.0
06.14.11.43.14.267	 Left: 2.0 Right: 0.0
06.14.11.43.14.517	 Left: 2.0 Right: 0.0
06.14.11.43.14.769	 Left: 2.0 Right: 0.0
06.14.11.43.15.019	 Left: 2.0 Right: 0.0
06.14.11.43.15.270	 Left: 2.0 Right: 0.0
06.14.11.43.15.521	 Left: 2.0 Right: 0.0
06.14.11.43.15.772	 Left: 2.0 Right: 0.0
06.14.11.43.16.023	 Left: 2.0 Right: 0.0
06.14.11.43.16.275	 Left: 2.0 Right: 0.0
06.14.11.43.16.526	 Left: 2.0 Right: 0.0
06.14.11.43.16.777	 Left: 2.0 Right: 0.0
06.14.11.43.17.027	 Left: 2.0 Right: 0.0
06.14.11.43.17.277	 Left: 2.0 Right: 0.0
06.14.11.43.17.528	 Left: 2.0 Right: 0.0
06.14.11.43.17.778	 Left: 2.0 Right: 0.0
06.14.11.43.18.028	 Left: 2.0 Right: 0.0
