06.13.19.39.14.869	 Left: -1.0 Right: -1.0
06.13.19.39.14.939	 Left: 2.0 Right: 4.0
06.13.19.39.15.190	 Left: 2.0 Right: 4.0
06.13.19.39.15.440	 Left: 2.0 Right: 4.0
06.13.19.39.15.692	 Left: 2.0 Right: 4.0
06.13.19.39.15.944	 Left: 2.0 Right: 4.0
06.13.19.39.16.194	 Left: 2.0 Right: 4.0
06.13.19.39.16.444	 Left: 2.0 Right: 4.0
06.13.19.39.16.694	 Left: 2.0 Right: 4.0
06.13.19.39.16.947	 Left: 2.0 Right: 4.0
06.13.19.39.17.198	 Left: 2.0 Right: 4.0
06.13.19.39.17.449	 Left: 2.0 Right: 4.0
06.13.19.39.17.699	 Left: 2.0 Right: 4.0
06.13.19.39.17.950	 Left: 2.0 Right: 4.0
06.13.19.39.18.201	 Left: 2.0 Right: 4.0
06.13.19.39.18.452	 Left: 2.0 Right: 0.0
06.13.19.39.18.703	 Left: 2.0 Right: 4.0
06.13.19.39.18.953	 Left: 2.0 Right: -1.0
06.13.19.39.19.204	 Left: 2.0 Right: -1.0
06.13.19.39.19.455	 Left: 2.0 Right: -1.0
06.13.19.39.19.706	 Left: 2.0 Right: -1.0
06.13.19.39.19.956	 Left: 2.0 Right: -1.0
06.13.19.39.20.206	 Left: 2.0 Right: -1.0
06.13.19.39.20.457	 Left: 2.0 Right: -1.0
06.13.19.39.20.707	 Left: 0.0 Right: -1.0
06.13.19.39.20.959	 Left: 1.0 Right: -1.0
06.13.19.39.21.209	 Left: 1.0 Right: -1.0
06.13.19.39.21.462	 Left: 2.0 Right: 1.0
06.13.19.39.21.716	 Left: 2.0 Right: 1.0
06.13.19.39.21.966	 Left: 2.0 Right: 1.0
06.13.19.39.22.217	 Left: 2.0 Right: 1.0
06.13.19.39.22.468	 Left: 2.0 Right: 1.0
06.13.19.39.22.718	 Left: 2.0 Right: 1.0
06.13.19.39.22.969	 Left: 2.0 Right: 1.0
06.13.19.39.23.220	 Left: 2.0 Right: 1.0
06.13.19.39.23.472	 Left: 2.0 Right: 1.0
06.13.19.39.23.722	 Left: 2.0 Right: 1.0
06.13.19.39.23.972	 Left: 2.0 Right: 1.0
06.13.19.39.24.223	 Left: 2.0 Right: 1.0
06.13.19.39.24.474	 Left: 2.0 Right: 1.0
06.13.19.39.24.727	 Left: 2.0 Right: 1.0
06.13.19.39.24.977	 Left: 2.0 Right: 1.0
06.13.19.39.25.228	 Left: 2.0 Right: 1.0
06.13.19.39.25.480	 Left: 2.0 Right: 1.0
06.13.19.39.25.731	 Left: 2.0 Right: 1.0
06.13.19.39.25.986	 Left: 2.0 Right: 1.0
06.13.19.39.26.237	 Left: 2.0 Right: 1.0
06.13.19.39.26.487	 Left: 2.0 Right: 1.0
06.13.19.39.26.737	 Left: 2.0 Right: 1.0
06.13.19.39.26.987	 Left: 2.0 Right: 1.0
06.13.19.39.27.237	 Left: 2.0 Right: 1.0
06.13.19.39.27.487	 Left: 2.0 Right: 1.0
06.13.19.39.27.738	 Left: 2.0 Right: 1.0
06.13.19.39.27.988	 Left: 2.0 Right: 1.0
06.13.19.39.28.238	 Left: 2.0 Right: 1.0
06.13.19.39.28.490	 Left: 2.0 Right: 1.0
06.13.19.39.28.744	 Left: 2.0 Right: 1.0
06.13.19.39.28.998	 Left: 2.0 Right: 1.0
06.13.19.39.29.249	 Left: 2.0 Right: 1.0
06.13.19.39.29.499	 Left: 2.0 Right: 1.0
06.13.19.39.29.750	 Left: 2.0 Right: 1.0
06.13.19.39.30.000	 Left: 2.0 Right: 1.0
06.13.19.39.30.251	 Left: 2.0 Right: 1.0
06.13.19.39.30.503	 Left: 2.0 Right: 1.0
